"","Id","When","FarmCashReceiptType","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"36",39360,"1/1/1973 12:00:00 AM","Total receipts from direct payments",2572000,43000,22025000,885000,128000,0,40000,6439000,272000,9767000,1879000,"5/26/2020 8:59:29 AM"
"37",39361,"4/1/1973 12:00:00 AM","Total crops receipts",68099000,14918000,450951000,39035000,16143000,0,4934000,76991000,7870000,34802000,188159000,"5/26/2020 8:59:29 AM"
"38",39362,"4/1/1973 12:00:00 AM","Total farm cash receipts",264088000,62400000,1497082000,123917000,26420000,0,21411000,420161000,16487000,245159000,317039000,"5/26/2020 8:59:29 AM"
"39",39363,"4/1/1973 12:00:00 AM","Total receipts from livestock and livestock products",173924000,45662000,960801000,74638000,10143000,0,16445000,336570000,8342000,198301000,96776000,"5/26/2020 8:59:29 AM"
"40",39364,"4/1/1973 12:00:00 AM","Total receipts from direct payments",22065000,1820000,85330000,10244000,134000,0,32000,6600000,275000,12056000,32104000,"5/26/2020 8:59:29 AM"
"41",39365,"7/1/1973 12:00:00 AM","Total crops receipts",130721000,43130000,837221000,96056000,6165000,0,9967000,160704000,3582000,37650000,349246000,"5/26/2020 8:59:29 AM"
"42",39366,"7/1/1973 12:00:00 AM","Total farm cash receipts",341363000,99211000,1955479000,186105000,18654000,0,28779000,538945000,12907000,276612000,452903000,"5/26/2020 8:59:29 AM"
"43",39367,"7/1/1973 12:00:00 AM","Total receipts from livestock and livestock products",205774000,55448000,1074238000,88385000,12182000,0,18726000,363723000,8654000,219077000,102269000,"5/26/2020 8:59:29 AM"
"44",39368,"7/1/1973 12:00:00 AM","Total receipts from direct payments",4868000,633000,44020000,1664000,307000,0,86000,14518000,671000,19885000,1388000,"5/26/2020 8:59:29 AM"
"45",39369,"10/1/1973 12:00:00 AM","Total crops receipts",159783000,47694000,944911000,103959000,13483000,4315000,5367000,270115000,12220000,47364000,280611000,"5/26/2020 8:59:29 AM"
"46",39370,"10/1/1973 12:00:00 AM","Total farm cash receipts",385045000,129051000,2153526000,201796000,25577000,15683000,26280000,643484000,21080000,283373000,422157000,"5/26/2020 8:59:29 AM"
"47",39371,"10/1/1973 12:00:00 AM","Total receipts from livestock and livestock products",215157000,78357000,1125282000,92844000,11677000,11367000,20546000,354920000,7625000,203626000,129163000,"5/26/2020 8:59:29 AM"
"48",39372,"10/1/1973 12:00:00 AM","Total receipts from direct payments",10105000,3000000,83333000,4993000,417000,1000,367000,18449000,1235000,32383000,12383000,"5/26/2020 8:59:29 AM"
"49",39373,"1/1/1974 12:00:00 AM","Total crops receipts",199550000,19897000,988008000,110024000,20689000,0,4540000,218190000,25230000,30164000,359724000,"5/26/2020 8:59:29 AM"
"50",39374,"1/1/1974 12:00:00 AM","Total farm cash receipts",415448000,78869000,2084683000,197337000,31822000,0,24424000,603798000,33021000,226809000,473155000,"5/26/2020 8:59:29 AM"
"51",39375,"1/1/1974 12:00:00 AM","Total receipts from livestock and livestock products",207815000,57576000,1052031000,85846000,10969000,0,19775000,368054000,7365000,182154000,112477000,"5/26/2020 8:59:29 AM"
"52",39376,"1/1/1974 12:00:00 AM","Total receipts from direct payments",8083000,1396000,44644000,1467000,164000,0,109000,17554000,426000,14491000,954000,"5/26/2020 8:59:29 AM"
"53",39377,"4/1/1974 12:00:00 AM","Total crops receipts",290718000,24617000,1481983000,167655000,17327000,0,4644000,108501000,14247000,35634000,818640000,"5/26/2020 8:59:29 AM"
"54",39378,"4/1/1974 12:00:00 AM","Total farm cash receipts",476358000,90212000,2641173000,248463000,28934000,4000,23365000,538152000,22675000,283058000,929952000,"5/26/2020 8:59:29 AM"
"55",39379,"4/1/1974 12:00:00 AM","Total receipts from livestock and livestock products",171952000,63600000,1105371000,78502000,11387000,0,18595000,415705000,7977000,229100000,108553000,"5/26/2020 8:59:29 AM"
"56",39380,"4/1/1974 12:00:00 AM","Total receipts from direct payments",13688000,1995000,53819000,2306000,220000,4000,126000,13946000,451000,18324000,2759000,"5/26/2020 8:59:29 AM"
"57",39381,"7/1/1974 12:00:00 AM","Total crops receipts",181371000,44992000,882619000,94846000,6606000,0,8106000,231221000,4064000,42683000,268730000,"5/26/2020 8:59:29 AM"
"58",39382,"7/1/1974 12:00:00 AM","Total farm cash receipts",439498000,106926000,2143673000,181732000,18739000,12000,27890000,648884000,13449000,334984000,371559000,"5/26/2020 8:59:29 AM"
"59",39383,"7/1/1974 12:00:00 AM","Total receipts from livestock and livestock products",223339000,60120000,1148807000,83374000,11524000,0,19097000,393006000,8217000,249968000,100162000,"5/26/2020 8:59:29 AM"
"60",39384,"7/1/1974 12:00:00 AM","Total receipts from direct payments",34788000,1814000,112247000,3512000,609000,12000,687000,24657000,1168000,42333000,2667000,"5/26/2020 8:59:29 AM"
"61",39385,"10/1/1974 12:00:00 AM","Total crops receipts",167585000,46179000,836908000,108487000,11826000,4045000,5333000,281748000,7744000,48586000,155375000,"5/26/2020 8:59:29 AM"
"62",39386,"10/1/1974 12:00:00 AM","Total farm cash receipts",416667000,134985000,2169981000,202258000,24381000,18041000,26995000,680750000,16920000,334057000,314927000,"5/26/2020 8:59:29 AM"
"63",39387,"10/1/1974 12:00:00 AM","Total receipts from livestock and livestock products",226924000,70545000,1156587000,86929000,11673000,13972000,21010000,372392000,7694000,218679000,126769000,"5/26/2020 8:59:29 AM"
"64",39388,"10/1/1974 12:00:00 AM","Total receipts from direct payments",22158000,18261000,176486000,6842000,882000,24000,652000,26610000,1482000,66792000,32783000,"5/26/2020 8:59:29 AM"
"65",39389,"1/1/1975 12:00:00 AM","Total crops receipts",455404000,27150000,2093999000,236948000,8068000,0,4148000,193852000,8035000,29720000,1130674000,"5/26/2020 8:59:29 AM"
"66",39390,"1/1/1975 12:00:00 AM","Total farm cash receipts",645308000,87594000,3115064000,309117000,19684000,0,24532000,553300000,16596000,242468000,1216465000,"5/26/2020 8:59:29 AM"
"67",39391,"1/1/1975 12:00:00 AM","Total receipts from livestock and livestock products",186374000,58712000,977809000,70491000,11362000,0,19910000,344261000,8019000,193817000,84863000,"5/26/2020 8:59:29 AM"
"68",39392,"1/1/1975 12:00:00 AM","Total receipts from direct payments",3530000,1732000,43256000,1678000,254000,0,474000,15187000,542000,18931000,928000,"5/26/2020 8:59:29 AM"
"69",39393,"4/1/1975 12:00:00 AM","Total crops receipts",111898000,22135000,662471000,77888000,8683000,0,4019000,165817000,4755000,36321000,230955000,"5/26/2020 8:59:29 AM"
"70",39394,"4/1/1975 12:00:00 AM","Total farm cash receipts",330208000,86171000,1922260000,161414000,21721000,0,24894000,621589000,16605000,331920000,327738000,"5/26/2020 8:59:29 AM"
"71",39395,"4/1/1975 12:00:00 AM","Total receipts from livestock and livestock products",214435000,61892000,1206810000,80947000,12545000,0,20327000,437320000,10381000,273404000,95559000,"5/26/2020 8:59:29 AM"
"72",39396,"4/1/1975 12:00:00 AM","Total receipts from direct payments",3875000,2144000,52979000,2579000,493000,0,548000,18452000,1469000,22195000,1224000,"5/26/2020 8:59:29 AM"
"73",39397,"7/1/1975 12:00:00 AM","Total crops receipts",206871000,39347000,1067114000,118918000,7294000,0,9616000,288229000,5592000,44323000,346924000,"5/26/2020 8:59:29 AM"
"74",39398,"7/1/1975 12:00:00 AM","Total farm cash receipts",453177000,107911000,2495464000,212877000,24823000,31000,32633000,782389000,22809000,396012000,462802000,"5/26/2020 8:59:29 AM"
"75",39399,"7/1/1975 12:00:00 AM","Total receipts from livestock and livestock products",239632000,65915000,1316240000,90001000,12621000,0,22063000,462476000,11240000,299191000,113101000,"5/26/2020 8:59:29 AM"
"76",39400,"7/1/1975 12:00:00 AM","Total receipts from direct payments",6674000,2649000,112110000,3958000,4908000,31000,954000,31684000,5977000,52498000,2777000,"5/26/2020 8:59:29 AM"
"77",39401,"10/1/1975 12:00:00 AM","Total crops receipts",194910000,41728000,1020552000,131547000,19485000,5220000,5408000,237882000,16032000,54852000,313488000,"5/26/2020 8:59:29 AM"
"78",39402,"10/1/1975 12:00:00 AM","Total farm cash receipts",473049000,147492000,2676333000,267094000,33312000,19014000,32055000,732078000,30035000,417234000,524970000,"5/26/2020 8:59:29 AM"
"79",39403,"10/1/1975 12:00:00 AM","Total receipts from livestock and livestock products",250194000,80317000,1385445000,108229000,12951000,13750000,25779000,435199000,11558000,290572000,156896000,"5/26/2020 8:59:29 AM"
"80",39404,"10/1/1975 12:00:00 AM","Total receipts from direct payments",27945000,25447000,270336000,27318000,876000,44000,868000,58997000,2445000,71810000,54586000,"5/26/2020 8:59:29 AM"
"81",39405,"1/1/1976 12:00:00 AM","Total crops receipts",386134000,30265000,1790575000,163841000,17619000,753000,5307000,220561000,22671000,41153000,902271000,"5/26/2020 8:59:29 AM"
"82",39406,"1/1/1976 12:00:00 AM","Total farm cash receipts",624361000,96409000,3026394000,248909000,31131000,1356000,29482000,642113000,32931000,313367000,1006335000,"5/26/2020 8:59:29 AM"
"83",39407,"1/1/1976 12:00:00 AM","Total receipts from livestock and livestock products",232259000,63578000,1177750000,82402000,13202000,603000,23468000,400472000,9695000,250041000,102030000,"5/26/2020 8:59:29 AM"
"84",39408,"1/1/1976 12:00:00 AM","Total receipts from direct payments",5968000,2566000,58069000,2666000,310000,0,707000,21080000,565000,22173000,2034000,"5/26/2020 8:59:29 AM"
"85",39409,"4/1/1976 12:00:00 AM","Total crops receipts",117254000,24865000,777973000,94343000,15292000,408000,4439000,209671000,11451000,49777000,250473000,"5/26/2020 8:59:29 AM"
"86",39410,"4/1/1976 12:00:00 AM","Total farm cash receipts",355967000,93356000,2137655000,187118000,29929000,1111000,27591000,671517000,23302000,385288000,362476000,"5/26/2020 8:59:29 AM"
"87",39411,"4/1/1976 12:00:00 AM","Total receipts from livestock and livestock products",233187000,66319000,1279803000,89623000,14022000,703000,22314000,436641000,10688000,296507000,109799000,"5/26/2020 8:59:29 AM"
"88",39412,"4/1/1976 12:00:00 AM","Total receipts from direct payments",5526000,2172000,79879000,3152000,615000,0,838000,25205000,1163000,39004000,2204000,"5/26/2020 8:59:29 AM"
"89",39413,"7/1/1976 12:00:00 AM","Total crops receipts",206414000,51648000,1127766000,130200000,8729000,948000,8928000,269275000,5718000,43975000,401930000,"5/26/2020 8:59:29 AM"
"90",39414,"7/1/1976 12:00:00 AM","Total farm cash receipts",426497000,121906000,2431741000,221363000,24229000,1755000,32459000,713500000,17260000,362197000,510574000,"5/26/2020 8:59:29 AM"
"91",39415,"7/1/1976 12:00:00 AM","Total receipts from livestock and livestock products",214539000,67958000,1228053000,88580000,14816000,807000,22804000,422110000,10205000,279537000,106697000,"5/26/2020 8:59:29 AM"
"92",39416,"7/1/1976 12:00:00 AM","Total receipts from direct payments",5544000,2300000,75922000,2583000,684000,0,727000,22115000,1337000,38685000,1947000,"5/26/2020 8:59:29 AM"
"93",39417,"10/1/1976 12:00:00 AM","Total crops receipts",176200000,40779000,934420000,101392000,14924000,2355000,8896000,299962000,20801000,47889000,221222000,"5/26/2020 8:59:29 AM"
"94",39418,"10/1/1976 12:00:00 AM","Total farm cash receipts",489901000,170963000,2500597000,232692000,30319000,16308000,35741000,761828000,32089000,326923000,403833000,"5/26/2020 8:59:29 AM"
"95",39419,"10/1/1976 12:00:00 AM","Total receipts from livestock and livestock products",247561000,79198000,1263771000,96291000,14706000,13854000,24677000,403465000,9619000,235809000,138591000,"5/26/2020 8:59:29 AM"
"96",39420,"10/1/1976 12:00:00 AM","Total receipts from direct payments",66140000,50986000,302406000,35009000,689000,99000,2168000,58401000,1669000,43225000,44020000,"5/26/2020 8:59:29 AM"
"97",39421,"1/1/1977 12:00:00 AM","Total crops receipts",323941000,33021000,1421955000,124451000,15477000,752000,5430000,216526000,20476000,35127000,646754000,"5/26/2020 8:59:29 AM"
"98",39422,"1/1/1977 12:00:00 AM","Total farm cash receipts",570458000,97740000,2634246000,209798000,30225000,1395000,29863000,615487000,30086000,281145000,768049000,"5/26/2020 8:59:29 AM"
"99",39423,"1/1/1977 12:00:00 AM","Total receipts from livestock and livestock products",242603000,62259000,1140359000,82951000,14421000,642000,23666000,380780000,9053000,225311000,98673000,"5/26/2020 8:59:29 AM"
"100",39424,"1/1/1977 12:00:00 AM","Total receipts from direct payments",3914000,2460000,71932000,2396000,327000,1000,767000,18181000,557000,20707000,22622000,"5/26/2020 8:59:29 AM"
"101",39425,"4/1/1977 12:00:00 AM","Total crops receipts",187431000,27899000,826558000,86890000,12609000,398000,4806000,155109000,9645000,50587000,291184000,"5/26/2020 8:59:29 AM"
"102",39426,"4/1/1977 12:00:00 AM","Total farm cash receipts",430203000,95718000,2231001000,181479000,28974000,1209000,29325000,642195000,21772000,387404000,412722000,"5/26/2020 8:59:29 AM"
"103",39427,"4/1/1977 12:00:00 AM","Total receipts from livestock and livestock products",233957000,64756000,1298025000,89225000,15594000,810000,23390000,449749000,10782000,292797000,116965000,"5/26/2020 8:59:29 AM"
"104",39428,"4/1/1977 12:00:00 AM","Total receipts from direct payments",8815000,3063000,106418000,5364000,771000,1000,1129000,37337000,1345000,44020000,4573000,"5/26/2020 8:59:29 AM"
"105",39429,"7/1/1977 12:00:00 AM","Total crops receipts",171399000,65069000,1092727000,128770000,8140000,996000,11152000,273027000,3797000,52967000,377410000,"5/26/2020 8:59:29 AM"
"106",39430,"7/1/1977 12:00:00 AM","Total farm cash receipts",340687000,141835000,2504337000,234812000,24700000,1809000,36209000,775583000,16421000,415927000,516354000,"5/26/2020 8:59:29 AM"
"107",39431,"7/1/1977 12:00:00 AM","Total receipts from livestock and livestock products",154812000,71591000,1299062000,101640000,15655000,813000,24161000,468755000,11052000,315636000,134947000,"5/26/2020 8:59:29 AM"
"108",39432,"7/1/1977 12:00:00 AM","Total receipts from direct payments",14476000,5175000,112548000,4402000,905000,0,896000,33801000,1572000,47324000,3997000,"5/26/2020 8:59:29 AM"
"109",39433,"10/1/1977 12:00:00 AM","Total crops receipts",205829000,47129000,1091647000,132115000,11115000,3211000,9236000,317861000,8934000,46068000,310149000,"5/26/2020 8:59:29 AM"
"110",39434,"10/1/1977 12:00:00 AM","Total farm cash receipts",621367000,188565000,2864394000,258612000,26999000,17534000,37452000,842422000,21362000,373781000,476300000,"5/26/2020 8:59:29 AM"
"111",39435,"10/1/1977 12:00:00 AM","Total receipts from livestock and livestock products",368976000,86027000,1508858000,107514000,15214000,14231000,27221000,469507000,10347000,283361000,126460000,"5/26/2020 8:59:29 AM"
"112",39436,"10/1/1977 12:00:00 AM","Total receipts from direct payments",46562000,55409000,263889000,18983000,670000,92000,995000,55054000,2081000,44352000,39691000,"5/26/2020 8:59:29 AM"
"113",39437,"1/1/1978 12:00:00 AM","Total crops receipts",349449000,42134000,1508553000,139324000,10345000,843000,5239000,283407000,12601000,42259000,622952000,"5/26/2020 8:59:29 AM"
"114",39438,"1/1/1978 12:00:00 AM","Total farm cash receipts",661835000,116599000,2962159000,247598000,26178000,1587000,33868000,773634000,24626000,328547000,747687000,"5/26/2020 8:59:29 AM"
"115",39439,"1/1/1978 12:00:00 AM","Total receipts from livestock and livestock products",298867000,71846000,1380447000,103143000,15431000,740000,27909000,470573000,11264000,265159000,115515000,"5/26/2020 8:59:29 AM"
"116",39440,"1/1/1978 12:00:00 AM","Total receipts from direct payments",13519000,2619000,73159000,5131000,402000,4000,720000,19654000,761000,21129000,9220000,"5/26/2020 8:59:29 AM"
"117",39441,"4/1/1978 12:00:00 AM","Total crops receipts",156429000,33448000,1023111000,143503000,12985000,421000,5283000,199325000,9907000,55777000,406033000,"5/26/2020 8:59:29 AM"
"118",39442,"4/1/1978 12:00:00 AM","Total farm cash receipts",464866000,113737000,2711347000,266025000,32473000,1250000,33652000,770249000,25009000,444995000,559091000,"5/26/2020 8:59:29 AM"
"119",39443,"4/1/1978 12:00:00 AM","Total receipts from livestock and livestock products",301520000,76582000,1629676000,119498000,17740000,829000,27569000,551391000,13394000,369669000,151484000,"5/26/2020 8:59:29 AM"
"120",39444,"4/1/1978 12:00:00 AM","Total receipts from direct payments",6917000,3707000,58560000,3024000,1748000,0,800000,19533000,1708000,19549000,1574000,"5/26/2020 8:59:29 AM"
"121",39445,"7/1/1978 12:00:00 AM","Total crops receipts",169871000,78205000,1166420000,154891000,10533000,899000,12567000,259218000,5487000,61641000,413108000,"5/26/2020 8:59:29 AM"
"122",39446,"7/1/1978 12:00:00 AM","Total farm cash receipts",484654000,167045000,2910823000,275976000,31254000,1813000,43986000,851658000,22678000,468251000,563508000,"5/26/2020 8:59:29 AM"
"123",39447,"7/1/1978 12:00:00 AM","Total receipts from livestock and livestock products",309398000,86689000,1652003000,117746000,18744000,914000,30382000,565795000,14416000,360025000,147894000,"5/26/2020 8:59:29 AM"
"124",39448,"7/1/1978 12:00:00 AM","Total receipts from direct payments",5385000,2151000,92400000,3339000,1977000,0,1037000,26645000,2775000,46585000,2506000,"5/26/2020 8:59:29 AM"
"125",39449,"10/1/1978 12:00:00 AM","Total crops receipts",229422000,53074000,1241250000,158146000,12371000,2540000,10632000,378765000,11004000,67771000,317525000,"5/26/2020 8:59:29 AM"
"126",39450,"10/1/1978 12:00:00 AM","Total farm cash receipts",677624000,198309000,3481321000,357083000,33067000,18770000,46316000,1027695000,28066000,461633000,632758000,"5/26/2020 8:59:29 AM"
"127",39451,"10/1/1978 12:00:00 AM","Total receipts from livestock and livestock products",387480000,104449000,1894227000,160627000,19470000,16143000,34775000,605631000,14471000,350105000,201076000,"5/26/2020 8:59:29 AM"
"128",39452,"10/1/1978 12:00:00 AM","Total receipts from direct payments",60722000,40786000,345844000,38310000,1226000,87000,909000,43299000,2591000,43757000,114157000,"5/26/2020 8:59:29 AM"
"129",39453,"1/1/1979 12:00:00 AM","Total crops receipts",302410000,43047000,1484810000,140417000,11333000,674000,5969000,298273000,18095000,56373000,608219000,"5/26/2020 8:59:29 AM"
"130",39454,"1/1/1979 12:00:00 AM","Total farm cash receipts",718563000,138454000,3402160000,281263000,34378000,2965000,41272000,927598000,36000000,436051000,785616000,"5/26/2020 8:59:29 AM"
"131",39455,"1/1/1979 12:00:00 AM","Total receipts from livestock and livestock products",411893000,93834000,1851706000,138369000,20558000,2263000,34285000,607508000,14907000,352893000,175196000,"5/26/2020 8:59:29 AM"
"132",39456,"1/1/1979 12:00:00 AM","Total receipts from direct payments",4260000,1573000,65644000,2477000,2487000,28000,1018000,21817000,2998000,26785000,2201000,"5/26/2020 8:59:29 AM"
"133",39457,"4/1/1979 12:00:00 AM","Total crops receipts",247411000,39366000,1234846000,137723000,12907000,330000,5770000,237705000,9715000,81697000,462222000,"5/26/2020 8:59:29 AM"
"134",39458,"4/1/1979 12:00:00 AM","Total farm cash receipts",655360000,134182000,3253155000,276162000,35707000,2776000,40246000,942788000,28037000,520699000,617198000,"5/26/2020 8:59:29 AM"
"135",39459,"4/1/1979 12:00:00 AM","Total receipts from livestock and livestock products",404436000,93090000,1931567000,135532000,21724000,2429000,33525000,658614000,16891000,411777000,153549000,"5/26/2020 8:59:29 AM"
"136",39460,"4/1/1979 12:00:00 AM","Total receipts from direct payments",3513000,1726000,86742000,2907000,1076000,17000,951000,46469000,1431000,27225000,1427000,"5/26/2020 8:59:29 AM"
"137",39461,"7/1/1979 12:00:00 AM","Total crops receipts",287454000,88580000,1500870000,188187000,11921000,975000,10670000,301065000,6126000,70478000,535414000,"5/26/2020 8:59:29 AM"
"138",39462,"7/1/1979 12:00:00 AM","Total farm cash receipts",658530000,192349000,3457691000,324792000,34178000,3531000,45693000,977904000,24004000,517308000,679402000,"5/26/2020 8:59:29 AM"
"139",39463,"7/1/1979 12:00:00 AM","Total receipts from livestock and livestock products",365815000,101458000,1868153000,133413000,21333000,2552000,33890000,647933000,16166000,403655000,141938000,"5/26/2020 8:59:29 AM"
"140",39464,"7/1/1979 12:00:00 AM","Total receipts from direct payments",5261000,2311000,88668000,3192000,924000,4000,1133000,28906000,1712000,43175000,2050000,"5/26/2020 8:59:29 AM"
"141",39465,"10/1/1979 12:00:00 AM","Total crops receipts",313026000,64068000,1685294000,244767000,13002000,3941000,11256000,445914000,11898000,83930000,493492000,"5/26/2020 8:59:29 AM"
"142",39466,"10/1/1979 12:00:00 AM","Total farm cash receipts",810508000,208501000,4299518000,460867000,36313000,17173000,51587000,1180269000,32752000,517772000,983776000,"5/26/2020 8:59:29 AM"
"143",39467,"10/1/1979 12:00:00 AM","Total receipts from livestock and livestock products",404651000,127930000,2028842000,158011000,22312000,13138000,38314000,651817000,16588000,384708000,211373000,"5/26/2020 8:59:29 AM"
"144",39468,"10/1/1979 12:00:00 AM","Total receipts from direct payments",92831000,16503000,585382000,58089000,999000,94000,2017000,82538000,4266000,49134000,278911000,"5/26/2020 8:59:29 AM"
"145",39469,"1/1/1980 12:00:00 AM","Total crops receipts",429592000,58671000,1879278000,205841000,10812000,1297000,7119000,281184000,19995000,61812000,802955000,"5/26/2020 8:59:29 AM"
